Country,Region,Male,Female,Total_Pop,Life_Expectancy_Male,Life_Expectancy_Female,Life_Expectancy_Both,Health_Exp_Per_Capita,Health_Expend_of_GDP,Child_Mortality_Rate,Heart_Disease_Male,Heart_Disease_Female,Heart_Disease_Total
Afghanistan,Eastern Mediterranean,18310,17220,35530,61,64.5,62.6,57,10.2,3.9,31.8,27.7,29.8
Albania,Europe,1479,1451,2930,74.3,78.6,76.4,272,6.7,0.6,20.7,13.1,17
Algeria,Africa,20866,20452,41318,75.4,77.4,76.4,260,6.6,1.5,15.2,13.2,14.2
Andorra,Europe,38,39,77,,,,3835,10.4,0.1,,,
Angola,Africa,14605,15179,29784,60.3,64.9,62.6,3835,2.9,2.9,17.2,16,16.5
Antigua and Barbuda,Americas,49,53,102,72.5,77.5,75,623,4.3,0.4,25.2,20,22.6
Argentina,Americas,21668,22603,44271,73.5,80.3,76.9,955,7.5,0.6,19.7,12.2,15.8
Armenia,Europe,1378,1552,2930,71.2,78.1,74.8,359,9.9,0.7,30.9,15,22.3
Australia,Western Pacific,12181,12270,24451,81,84.8,82.9,5002,9.3,0.2,11,7.2,9.1
Austria,Europe,4283,4452,8735,79.4,84.2,81.8,4688,10.4,0.2,14.4,8.5,11.4
Azerbaijan,Europe,4895,4932,9828,70.3,75.7,73.1,268,6.9,1.2,28.7,16.1,22.2
Bahamas,Americas,194,202,395,72.6,78.6,75.7,1835,6.4,0.4,18.6,12.7,15.5
Bahrain,Eastern Mediterranean,936,556,1493,78.6,79.6,79.1,1099,4.9,0.3,10.9,11.9,11.3
Bangladesh,SouthEast Asia,83036,81634,164670,71.1,74.4,72.7,34,2.4,1.8,22.6,20.4,21.6
Barbados,Americas,137,149,286,73.1,78,75.6,1164,7,0.8,19.7,12.9,16.2
Belarus,Europe,4406,5062,9468,68.8,79.2,74.2,318,6.3,0.2,35.2,13.8,23.7
Belgium,Europe,5636,5793,11429,78.8,83.5,81.1,4149,10,0.2,14.1,8.6,11.4
Belize,Americas,187,188,375,67.9,73.4,70.5,304,6.1,0.9,25.5,18.5,22.1
Benin,Africa,5575,5601,11176,59.7,62.4,61.1,30,3.9,3.3,19.9,19.3,19.6
Bhutan,SouthEast Asia,429,379,808,70.4,70.8,70.6,91,3.5,1.7,21.9,24.9,23.3
Bolivia (Plurinational State of),Americas,5533,5519,11052,69.1,74,71.5,213,6.9,1.9,17.7,16.8,17.2
Bosnia and Herzegovina,Europe,1722,1785,3507,74.8,79.8,77.3,444,9.2,0.4,23.1,12.9,17.8
Botswana,Africa,1133,1159,2292,63.6,68.4,66.1,380,5.5,2.5,23.4,17.9,20.3
Brazil,Americas,102855,106433,209288,71.4,78.9,75.1,1016,11.8,0.9,20,13.5,16.6
Brunei Darussalam,Western Pacific,221,208,429,75.3,77.6,76.4,631,2.3,0.5,18.5,14.8,16.6
Bulgaria,Europe,3444,3641,7085,71.4,78.4,74.9,612,8.2,0.4,32,15.5,23.6
