Variable Name,Label
_STATE,STATE FIPS CODE
FMONTH,FILE MONTH
IDATE,INTERVIEW DATE
IMONTH,INTERVIEW MONTH
IDAY,INTERVIEW DAY
IYEAR,INTERVIEW YEAR
DISPCODE,FINAL DISPOSITION
SEQNO,ANNUAL SEQUENCE NUMBER
_PSU,PRIMARY SAMPLING UNIT
CTELENM1,CORRECT TELEPHONE NUMBER?
PVTRESD1,PRIVATE RESIDENCE?
COLGHOUS,DO YOU LIVE IN COLLEGE HOUSING?
STATERE1,RESIDENT OF STATE
CELPHON1,CELLULAR TELEPHONE
LADULT1,ARE YOU 18 YEARS OF AGE OR OLDER?
COLGSEX,ARE YOU MALE OR FEMALE?
NUMADULT,NUMBER OF ADULTS IN HOUSEHOLD
LANDSEX,ARE YOU MALE OR FEMALE?
NUMMEN,NUMBER OF ADULT MEN IN HOUSEHOLD
NUMWOMEN,NUMBER OF ADULT WOMEN IN HOUSEHOLD
RESPSLCT,RESPONDENT SELECTION
SAFETIME,SAFE TIME TO TALK?
CTELNUM1,CORRECT PHONE NUMBER?
CELLFON5,IS THIS A CELL PHONE?
CADULT1,ARE YOU 18 YEARS OF AGE OR OLDER?
CELLSEX,ARE YOU MALE OR FEMALE?
PVTRESD3,DO YOU LIVE IN A PRIVATE RESIDENCE?
CCLGHOUS,DO YOU LIVE IN COLLEGE HOUSING?
CSTATE1,DO YOU CURRENTLY LIVE IN  ____(STATE)___
LANDLINE,DO YOU ALSO HAVE A LANDLINE TELEPHONE?
HHADULT,NUMBER OF ADULTS IN HOUSEHOLD
SEXVAR,SEX OF RESPONDENT
GENHLTH,GENERAL HEALTH
PHYSHLTH,NUMBER OF DAYS PHYSICAL HEALTH NOT GOOD
MENTHLTH,NUMBER OF DAYS MENTAL HEALTH NOT GOOD
POORHLTH,POOR PHYSICAL OR MENTAL HEALTH
PRIMINSR,WHAT IS PRIMARY SOURCE OF HEALTH INSURAN
PERSDOC3,HAVE PERSONAL HEALTH CARE PROVIDER?
MEDCOST1,COULD NOT AFFORD TO SEE DOCTOR
CHECKUP1,LENGTH OF TIME SINCE LAST ROUTINE CHECKU
EXERANY2,EXERCISE IN PAST 30 DAYS
BPHIGH6,EVER TOLD BLOOD PRESSURE HIGH
BPMEDS,CURRENTLY TAKING BLOOD PRESSURE MEDICATI
CHOLCHK3,HOW LONG SINCE CHOLESTEROL CHECKED
TOLDHI3,EVER TOLD CHOLESTEROL IS HIGH
CHOLMED3,CURRENTLY TAKING MEDICINE FOR HIGH CHOLE
CVDINFR4,EVER DIAGNOSED WITH HEART ATTACK
CVDCRHD4,EVER DIAGNOSED WITH ANGINA OR CORONARY H
CVDSTRK3,EVER DIAGNOSED WITH A STROKE
ASTHMA3,EVER TOLD HAD ASTHMA
ASTHNOW,STILL HAVE ASTHMA
CHCSCNCR,(EVER TOLD) YOU HAD SKIN CANCER?
CHCOCNCR,(EVER TOLD) YOU HAD ANY OTHER TYPES OF C
CHCCOPD3,EVER TOLD YOU HAD C.O.P.D. EMPHYSEMA OR
ADDEPEV3,(EVER TOLD) YOU HAD A DEPRESSIVE DISORDE
CHCKDNY2,EVER TOLD YOU HAVE KIDNEY DISEASE?
DIABETE4,(EVER TOLD) YOU HAD DIABETES
DIABAGE3,AGE WHEN TOLD DIABETES
HAVARTH5,TOLD HAVE ARTHRITIS
ARTHEXER,DR. SUGGEST USE OF PHYSICAL ACTIVITY OR
ARTHEDU,EVER TAKEN CLASS IN MANAGING ARTHRITIS O
LMTJOIN3,LIMITED BECAUSE OF JOINT SYMPTOMS
ARTHDIS2,DOES ARTHRITIS AFFECT WHETHER YOU WORK
JOINPAI2,HOW BAD WAS JOINT PAIN
MARITAL,MARITAL STATUS
EDUCA,EDUCATION LEVEL
RENTHOM1,OWN OR RENT HOME
NUMHHOL3,HOUSEHOLD TELEPHONES
NUMPHON3,RESIDENTIAL PHONES
CPDEMO1B,DO YOU HAVE A CELL PHONE FOR PERSONAL US
VETERAN3,ARE YOU A VETERAN
EMPLOY1,EMPLOYMENT STATUS
CHILDREN,NUMBER OF CHILDREN IN HOUSEHOLD
INCOME3,INCOME LEVEL
PREGNANT,PREGNANCY STATUS
WEIGHT2,REPORTED WEIGHT IN POUNDS
HEIGHT3,REPORTED HEIGHT IN FEET AND INCHES
DEAF,ARE YOU DEAF OR DO YOU HAVE SERIOUS DIFF
BLIND,BLIND OR DIFFICULTY SEEING
